Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
Europe,Sweden,None,2020-03-06,5.364017961,0.400854089,0.080289465,0.050812913,0.10582753,0.771701838,3.757232872,25.85229418,1.86E-07,1.665556354,213.8176409,8.462745458
Europe,Switzerland,None,2020-03-05,5.307150234,5.381905134,4.789697958,28.39997925,0.035865097,0.191864232,2.739896449,1.230948956,0.000240932,0.131596765,238.3086245,96.80910063
Asia,Tajikistan,None,2020-05-03,1.809387428,0.74057402,-2.229066471,5.298077283,1,0.007570256,0,7.273923424,3.637815883,0.465871212,128.4795186,96.26991857
Africa,Tanzania,None,2020-04-17,0.017553086,0,-559.5419833,117.2962371,0.226330048,0.036504421,0.512502154,3.094828344,1.55E-05,0.097756828,63.25421672,1
Asia,Thailand,None,2020-03-15,1.998918036,12.91016243,0.509373884,102.4027648,0.135299628,0.028796499,2.298277502,3.90000429,0.125019017,0.031600019,153.9127494,71.9353731
Africa,Togo,None,2020-04-29,1.437515186,0.353969099,0.398386191,0,1,0.021131491,0,0.935214255,0.212118607,0.223451209,82.04441034,7.439017279
South America,Trinidad and Tobago,None,2020-04-04,0.560881165,0.350830005,-19.6674606,0.050144484,0.116188759,0.018822596,5.53E-08,0.10046145,1.10E-05,2.422620674,119.1374093,14.49683326
Africa,Tunisia,None,2020-03-24,4.413473103,0.304978601,-2.525082487,0.001168831,0.027667399,0.047473743,0,0.01911015,2.558550106,1.232135937,155.1336269,28.95390144
Asia,Turkey,None,2020-03-19,4.921487013,0.345201605,0.467811282,0,0.225895763,0.026435749,0,90.73842313,17.58099645,0,71.73770271,1
North America,US,Alabama,2020-03-20,1.5546895,0.38549083,9.010237071,0,1,0.121234128,2.524367714,9.78508667,5.702799454,0.332897496,76.40899779,13.48144576
North America,US,Alaska,2020-03-28,5.22962873,0.422687502,-991.8456855,0,1,0.005221133,0,0.000982942,0.507819504,0,23.66259052,23.17850721
North America,US,Arizona,2020-03-21,2.32137172,0.317792278,-3.786016712,0,0.051407698,0.122814018,0.924224517,3.709739229,19.84941796,1.53872842,69.56713208,12.10291115
North America,US,Arkansas,2020-03-20,2.074883951,0.404056055,-69.64263166,0,0.02,0.025854272,0,1.438859394,3.566692217,1.032552758,59.12908129,2.456241747
North America,US,California,2020-03-07,1.020141193,0.688666582,-72.34097127,0.083974892,0.074494875,1,11.7853825,19.19946458,0.253286276,0,152.7160227,6.497182724
North America,US,Colorado,2020-03-14,2.771506468,0.358766539,0.63206816,0.002144783,0.052269652,1,13.7625469,33.6180545,0,3.926022848,326.2533426,57.95855692
North America,US,Connecticut,2020-03-19,1.902157746,0.979193101,0.258080532,1.233754124,0.082485776,0.309563984,1.462618818,14.97680716,0.003682878,0.484176476,202.5279168,73.9084335
North America,US,Delaware,2020-03-24,0.686351129,0.599220429,-5.877549121,0.670270535,0.051504204,0.219434487,2.630059828,6.458991557,0.657112614,0.598557771,186.051869,98.92396523
North America,US,district of columbia,2020-03-23,1.904678731,0.564248825,1.527907783,0.500994114,0.080924725,0.274508477,2.797339332,5.962328314,0.993254026,0.565122893,160.9446637,61.91676356
North America,US,Florida,2020-03-16,1.367977719,0.340080128,1.887894355,0.00098507,0.024144096,0.166947258,1.29053094,12.16728068,63.06523406,1.577394117,85.64793482,9.788367144
North America,US,Georgia,2020-03-16,0.729700593,0.350389271,0.127069309,0.001501898,0.027668002,0.189905577,1.654250285,53.8565479,1.608093647,1.038552897,96.68189332,8.608295973
North America,US,Hawaii,2020-03-26,1.774154935,0.286908768,-313.6794521,0,0.02,0.027692742,0.088388522,0.217343178,1.291631456,1.793856545,109.613435,16.47182232
North America,US,Idaho,2020-03-25,3.415580967,0.412223669,-1368.575866,0,1,0.014949862,1.640325599,0,1.995754949,0.515345372,59.82676366,3.876498327
North America,US,Illinois,2020-03-17,2.451633212,1.191960699,5.713555223,5.26345517,0.044965778,1,11.0396729,1.492659271,4.336759526,0.40668323,255.321834,177.6211071
North America,US,Indiana,2020-03-21,0.749014962,0.373744893,-1.625035661,0,0.068925868,0.981989079,10.23934311,34.40574882,0.500268348,2.658671301,328.4628054,62.65520758
North America,US,Iowa,2020-03-23,2.171942444,0.538832173,-0.714179069,0.485623525,0.036865049,0.177367422,3.421397666,7.025853294,1.874378495,0.759772464,216.2836658,113.8087273
North America,US,Kansas,2020-03-24,3.700491925,0.403583405,-11.27087584,5.61E-05,1,0.209929641,26.38992377,2.64744606,3.625075075,1.154060636,211.9618264,3.154326074
North America,US,Kentucky,2020-03-22,3.541758414,0.408691798,-110.505415,5.54E-07,0.025359788,1,13.5204563,6.612780937,1.234493846,0,28.91074426,17.51256293
North America,US,Louisiana,2020-03-16,1.15422976,0.33942944,0.999780167,0,0.037625704,0.323957565,2.802204609,45.37283296,19.35050171,1.484981078,99.54397835,6.249190206
North America,US,Maine,2020-03-23,2.737521331,0.483625319,-34.12676847,0.103887873,0.043209828,0.222854143,5.309183906,0.488695276,1.222439508,0.490889596,207.3191592,46.57408965
North America,US,Maryland,2020-03-19,2.047513543,0.64309027,-1.205867078,0.775149136,0.219698705,0.597999351,6.62443244,22.41500045,0.815936526,0.516914936,181.6933381,107.1375426
North America,US,Massachusetts,2020-03-12,0.779626709,2.979786721,1.566539626,3.50709711,0.057619069,0.114850449,0.247390497,2.68707689,0.284802164,0.144440901,192.5244308,67.79982801
North America,US,Michigan,2020-03-19,2.091126482,0.329414151,-0.001044756,0.006527768,0.073030236,0.724291767,5.71411206,69.18541616,0.14854792,0.758637147,264.428462,74.9684547
North America,US,Minnesota,2020-03-20,3.095645935,1.054751967,-0.686568023,1.512945323,0.046470731,1,14.47161923,1.10586443,1.845454376,0.494646524,309.6696379,181.2095207
North America,US,Mississippi,2020-03-21,1.331364255,0.37996508,-58.35159896,0,0.068914984,0.081082657,0.389323971,11.21172983,1.402933465,0.649745533,89.94275048,6.245786172
North America,US,Missouri,2020-03-22,2.695982466,0.405554589,-0.093023051,0,0.024430038,0.374660337,3.92979794,1.054792477,8.659558655,1.211326824,114.4988945,1.158337681
North America,US,Montana,2020-03-27,3.076974346,1.025764951,-657.0481566,0.027557489,0.02,0.248015411,1.306065748,2.33E-05,0,1.063335625,30.15462097,14.01284095
North America,US,Nebraska,2020-03-27,1.055410525,0.625493622,-13.77486448,0.460938188,0.031299452,0.191445812,16.96608669,8.87361369,1.961812161,0.765902314,243.5423083,113.4960468
North America,US,Nevada,2020-03-20,2.447668292,0.363399066,0.436435965,0,0.07127193,0.078720033,0.88091134,2.722201538,4.851512215,1.074367712,87.9105438,6.912671188
